description,category
Installation and commissioning of concealed stop cock 20mm with wall flange with all fittings,Plumbing
Supplying and fixing CI manhole frame and cover 600x600mm medium duty as per IS standards,PHE
Supply and erection of overhead water tank in RCC M30 grade 20000L capacity as directed by engineer,Civil
Supply and erection of motorized rolling shutter GI for parking entrance including labour and material,Other
Providing split AC unit 1.5 ton 4 star fixed speed as per IS standards,HVAC
Providing and fixing RCC retaining wall M25 grade with reinforcement including all accessories,Civil
Installation and commissioning of flush cock 25mm concealed for squatting pan as per IS standards,Plumbing
Supply and installation of grab bar 600mm SS 316 for hospital toilet including all accessories,Plumbing
Providing and laying fire alarm cable 1mm 6 core shielded as per drawing,Fire
Supply and installation of APFC panel for power factor correction 6 step complete in all respects,Electrical
Supplying motorized rolling shutter aluminium for shop front with warranty,Other
Providing and laying urinal with self-closing flush valve with all fittings,Plumbing
Installation of CI manhole frame and cover 600x600mm light duty as per approved make,PHE
Supply and erection of towel rail 600mm chrome plated for kitchen as per approved make,Plumbing
Installation of circuit breaker 16A SP for AC as per IS standards,Electrical
Supply and fixing of two way bib cock 15mm for utility sink as per specification,Plumbing
Supply and erection of floor drain 150mm chrome plated grating,PHE
Installation and commissioning of canvas duct connector for vibration isolation as per drawing,HVAC
Supply and fixing of AHU 15TR vertical with filter section including all accessories,HVAC
Providing and installing motorized screen 100 inch for auditorium as directed by engineer,Other
Providing and laying foam fire extinguisher 45L for garage including testing and commissioning,Fire
Providing and installing building management system for lighting control,Other
Providing pre-insulated duct panel 30mm PUF board as per approved make,HVAC
Supplying and fixing booster water supply pump 2HP including testing and commissioning,Plumbing
Providing and laying linear slot diffuser 300mm as per drawing,HVAC
Providing and installing RCC drain 600x450mm with cover slab,PHE
Installation and commissioning of GI pipe 40mm for fire line with warranty,Plumbing
Installation and commissioning of water quality monitoring pH meter for discharge monitoring with all fittings,PHE
Installation of effluent treatment plant 50KLD for pharmaceutical as per specification,PHE
Installation and commissioning of ceramic wall tile 300x450mm for toilet including labour and material,Civil
Supply and erection of VRF outdoor unit 10HP with communication wiring including labour and material,HVAC
Providing and fixing water treatment system for humidifier including all accessories,HVAC
Providing and installing jet nozzle diffuser 600mm including testing and commissioning,HVAC
Rate for street light pole 8m with solar LED fitting with all fittings,Electrical
Providing and fixing ductable split AC 3 ton with fresh air intake as directed by engineer,HVAC
Installation of semi-recessed wash basin with counter as per drawing,Plumbing
Installation and commissioning of earth filling and compaction in 250mm layers with excavated soil with all fittings,Civil
Providing and laying fire hydrant branch pipe with branch pipe nozzle as per IS standards,Fire
Supplying and laying kitchen hood exhaust GI with fire suppression including testing and commissioning,Other
Providing and installing aluminium top hung window with 8mm glass including all accessories,Civil
Providing and installing CCTV camera bullet with analytics as per specification,Other
Providing and fixing street light pole 9m with solar LED fitting with warranty,Electrical
Supplying and laying expansion joint filler board 25mm for road pavement including testing and commissioning,Civil
Supply and fixing of fire exit signage LED with arrow with warranty,Fire
Providing and installing PVC pipe 110mm for soil waste stack as per IS standards,Plumbing
Supplying and laying waterproof membrane for water tank with SBS membrane as per drawing,Civil
Installation of PP inspection chamber 600mm with riser as per approved make,PHE
Supply and fixing of refrigerant leak detector for cold room system as per drawing,HVAC
Providing oil and grease separator 500L for service station including all accessories,PHE
Providing intercom system audio for school with warranty,Other
Providing and fixing intercom system wireless for apartment including labour and material,Other
Supplying concealed flush cistern for Indian WC as per approved make,Plumbing
Procurement and installation of wall putty 2 coats and acrylic paint for columns as directed by engineer,Civil
Supplying and fixing health faucet with SS braided hose with warranty,Plumbing
Supplying BMS controller for fire alarm monitoring as per approved make,HVAC
Supply and erection of VRF outdoor unit 18HP with branch piping including all accessories,HVAC
Supply and fixing of wall mixer with telephonic shower including labour and material,Plumbing
Supplying and fixing kitchen faucet pull down with aerator as per approved make,Plumbing
Procurement and installation of floor drain 200mm CI grating as per approved make,PHE
Supplying and laying cable laying armoured 4 core 25 sqmm including labour and material,Electrical
Rate for catch pit 450x450mm for storm water including testing and commissioning,PHE
Procurement and installation of terrazzo flooring 25mm thick with brass strips including testing and commissioning,Civil
Providing and installing 3 pin power socket 13A with shutter,Electrical
